d,x,y,mu_norm,n_obs,true_density,LogConcDEAD_density,logcondens_density,mean_loglik_true_dens,mean_loglik_LogConcDEAD,mean_loglik_logcondens,sim
1,-7,,0,5000,9.13472040836458e-12,0,0,-1.42271120005738,-1.42001277340697,-1.42001098239912,10
1,-6.95,,0,5000,1.29465919383192e-11,0,0,-1.42271120005738,-1.42001277340697,-1.42001098239912,10
1,-6.9,,0,5000,1.83033221701557e-11,0,0,-1.42271120005738,-1.42001277340697,-1.42001098239912,10
1,-6.85,,0,5000,2.58118214499867e-11,0,0,-1.42271120005738,-1.42001277340697,-1.42001098239912,10
1,-6.8,,0,5000,3.6309615017918e-11,0,0,-1.42271120005738,-1.42001277340697,-1.42001098239912,10
1,-6.75,,0,5000,5.09493795884368e-11,0,0,-1.42271120005738,-1.42001277340697,-1.42001098239912,10
1,-6.7,,0,5000,7.13132812399607e-11,0,0,-1.42271120005738,-1.42001277340697,-1.42001098239912,10
1,-6.65,,0,5000,9.95671790549699e-11,0,0,-1.42271120005738,-1.42001277340697,-1.42001098239912,10
1,-6.6,,0,5000,1.38667999416532e-10,0,0,-1.42271120005738,-1.42001277340697,-1.42001098239912,10
1,-6.55,,0,5000,1.92641814793591e-10,0,0,-1.42271120005738,-1.42001277340697,-1.42001098239912,10
1,-6.5,,0,5000,2.66955661476285e-10,0,0,-1.42271120005738,-1.42001277340697,-1.42001098239912,10
1,-6.45,,0,5000,3.69013261612456e-10,0,0,-1.42271120005738,-1.42001277340697,-1.42001098239912,10
1,-6.4,,0,5000,5.08814028164503e-10,0,0,-1.42271120005738,-1.42001277340697,-1.42001098239912,10
1,-6.35,,0,5000,6.9982659485798e-10,0,0,-1.42271120005738,-1.42001277340697,-1.42001098239912,10
1,-6.3,,0,5000,9.60143337031232e-10,0,0,-1.42271120005738,-1.42001277340697,-1.42001098239912,10
1,-6.25,,0,5000,1.31400181815588e-09,0,0,-1.42271120005738,-1.42001277340697,-1.42001098239912,10
1,-6.2,,0,5000,1.79378390796408e-09,0,0,-1.42271120005738,-1.42001277340697,-1.42001098239912,10
1,-6.15,,0,5000,2.44263482680704e-09,0,0,-1.42271120005738,-1.42001277340697,-1.42001098239912,10
1,-6.1,,0,5000,3.3178842435473e-09,0,0,-1.42271120005738,-1.42001277340697,-1.42001098239912,10
1,-6.05,,0,5000,4.49550183101324e-09,0,0,-1.42271120005738,-1.42001277340697,-1.42001098239912,10
1,-6,,0,5000,6.07588284982328e-09,0,0,-1.42271120005738,-1.42001277340697,-1.42001098239912,10
1,-5.95,,0,5000,8.19133840347916e-09,0,0,-1.42271120005738,-1.42001277340697,-1.42001098239912,10
1,-5.9,,0,5000,1.10157636246823e-08,0,0,-1.42271120005738,-1.42001277340697,-1.42001098239912,10
1,-5.85,,0,5000,1.477707958648e-08,0,0,-1.42271120005738,-1.42001277340697,-1.42001098239912,10
1,-5.8,,0,5000,1.97731964062446e-08,0,0,-1.42271120005738,-1.42001277340697,-1.42001098239912,10
1,-5.75,,0,5000,2.63924320357057e-08,0,0,-1.42271120005738,-1.42001277340697,-1.42001098239912,10
1,-5.7,,0,5000,3.51395509482043e-08,0,0,-1.42271120005738,-1.42001277340697,-1.42001098239912,10
1,-5.65,,0,5000,4.66688679759426e-08,0,0,-1.42271120005738,-1.42001277340697,-1.42001098239912,10
1,-5.6,,0,5000,6.18262050016586e-08,0,0,-1.42271120005738,-1.42001277340697,-1.42001098239912,10
1,-5.55,,0,5000,8.17019037854322e-08,0,0,-1.42271120005738,-1.42001277340697,-1.42001098239912,10
1,-5.5,,0,5000,1.07697600425433e-07,0,0,-1.42271120005738,-1.42001277340697,-1.42001098239912,10
1,-5.45,,0,5000,1.41610071301612e-07,0,0,-1.42271120005738,-1.42001277340697,-1.42001098239912,10
1,-5.4,,0,5000,1.85736184455529e-07,0,0,-1.42271120005738,-1.42001277340697,-1.42001098239912,10
1,-5.35,,0,5000,2.43003854108054e-07,0,0,-1.42271120005738,-1.42001277340697,-1.42001098239912,10
1,-5.3,,0,5000,3.17134921671598e-07,0,0,-1.42271120005738,-1.42001277340697,-1.42001098239912,10
1,-5.25,,0,5000,4.12847098863e-07,0,0,-1.42271120005738,-1.42001277340697,-1.42001098239912,10
1,-5.2,,0,5000,5.36103534469762e-07,0,0,-1.42271120005738,-1.42001277340697,-1.42001098239912,10
1,-5.15,,0,5000,6.94420235385534e-07,0,0,-1.42271120005738,-1.42001277340697,-1.42001098239912,10
1,-5.1,,0,5000,8.97243516238334e-07,0,0,-1.42271120005738,-1.42001277340697,-1.42001098239912,10
1,-5.05,,0,5000,1.15641190357978e-06,0,0,-1.42271120005738,-1.42001277340697,-1.42001098239912,10
1,-5,,0,5000,1.4867195147343e-06,0,0,-1.42271120005738,-1.42001277340697,-1.42001098239912,10
1,-4.95,,0,5000,1.90660090312282e-06,0,0,-1.42271120005738,-1.42001277340697,-1.42001098239912,10
1,-4.9,,0,5000,2.43896074589335e-06,0,0,-1.42271120005738,-1.42001277340697,-1.42001098239912,10
1,-4.85,,0,5000,3.11217557914895e-06,0,0,-1.42271120005738,-1.42001277340697,-1.42001098239912,10
1,-4.8,,0,5000,3.96129909103208e-06,0,0,-1.42271120005738,-1.42001277340697,-1.42001098239912,10
