n_obs,d,sim,alpha_param,beta_param,B,test_stat,reject
100,1,1,0.1,0.5,100,3.62494174291609e+153,1
100,1,2,0.1,0.5,100,1.62323373065204e+127,1
100,1,3,0.1,0.5,100,6.33977748194623e+181,1
100,1,4,0.1,0.5,100,3.44889234017961e+147,1
100,1,5,0.1,0.5,100,3.57485620446014e+165,1
100,1,6,0.1,0.5,100,6.11971612340549e+161,1
100,1,7,0.1,0.5,100,3.34445715214008e+133,1
100,1,8,0.1,0.5,100,2.99821566203938e+121,1
100,1,9,0.1,0.5,100,1.47121064870119e+136,1
100,1,10,0.1,0.5,100,1.92547834144975e+135,1
100,1,11,0.1,0.5,100,5.94256982959219e+128,1
100,1,12,0.1,0.5,100,1.89486908153352e+133,1
100,1,13,0.1,0.5,100,2.58183001350853e+128,1
100,1,14,0.1,0.5,100,2.81063745393615e+123,1
100,1,15,0.1,0.5,100,1.26120023509576e+169,1
100,1,16,0.1,0.5,100,1.37634699446815e+139,1
100,1,17,0.1,0.5,100,1.80301660853709e+151,1
100,1,18,0.1,0.5,100,3.16144781046014e+179,1
100,1,19,0.1,0.5,100,7.19936029348038e+180,1
100,1,20,0.1,0.5,100,1.13875736779546e+123,1
100,1,21,0.1,0.5,100,1.17498612644537e+166,1
100,1,22,0.1,0.5,100,4.78570010238748e+122,1
100,1,23,0.1,0.5,100,1.74724057093283e+135,1
100,1,24,0.1,0.5,100,9.98442147044831e+118,1
100,1,25,0.1,0.5,100,1.870288454767e+143,1
100,1,26,0.1,0.5,100,7.60814266828929e+111,1
100,1,27,0.1,0.5,100,3.34911220418903e+121,1
100,1,28,0.1,0.5,100,4.64977731575938e+128,1
100,1,29,0.1,0.5,100,5.74921416022942e+151,1
100,1,30,0.1,0.5,100,5.13778054343486e+113,1
100,1,31,0.1,0.5,100,5.09412829544165e+150,1
100,1,32,0.1,0.5,100,2.55709483828176e+137,1
100,1,33,0.1,0.5,100,7.15792599685572e+145,1
