n_obs,d,sim,alpha_param,beta_param,B,test_stat,reject
100,1,1,0.1,0.5,100,3.36388336899969e+58,1
100,1,2,0.1,0.5,100,3.71865420627553e+60,1
100,1,3,0.1,0.5,100,2.18410851436062e+57,1
100,1,4,0.1,0.5,100,1.2222614008588e+59,1
100,1,5,0.1,0.5,100,2.56100774822558e+66,1
100,1,6,0.1,0.5,100,1.70462450006368e+62,1
100,1,7,0.1,0.5,100,1.65887965656254e+62,1
100,1,8,0.1,0.5,100,1.0485404122801e+69,1
100,1,9,0.1,0.5,100,2.49751292070716e+53,1
100,1,10,0.1,0.5,100,3.22994838021692e+55,1
100,1,11,0.1,0.5,100,4.66261223596159e+61,1
100,1,12,0.1,0.5,100,1.76715494490352e+58,1
100,1,13,0.1,0.5,100,1.41367226298407e+44,1
100,1,14,0.1,0.5,100,2.29308392828336e+71,1
100,1,15,0.1,0.5,100,3.66157070477984e+59,1
100,1,16,0.1,0.5,100,6.67099685186312e+59,1
100,1,17,0.1,0.5,100,3.43561284531728e+55,1
100,1,18,0.1,0.5,100,5.08237442022336e+54,1
100,1,19,0.1,0.5,100,4.34382312207766e+76,1
100,1,20,0.1,0.5,100,2.39143396699685e+53,1
100,1,21,0.1,0.5,100,1.26483400276169e+65,1
100,1,22,0.1,0.5,100,8.63827578360367e+61,1
100,1,23,0.1,0.5,100,4.98458405064805e+51,1
100,1,24,0.1,0.5,100,2.17561107226645e+70,1
100,1,25,0.1,0.5,100,2.62909965248725e+61,1
100,1,26,0.1,0.5,100,4.84439587259854e+71,1
100,1,27,0.1,0.5,100,9.33486745029138e+54,1
100,1,28,0.1,0.5,100,1.84815446174684e+56,1
100,1,29,0.1,0.5,100,6.09133183735211e+51,1
100,1,30,0.1,0.5,100,1.11947242083538e+70,1
100,1,31,0.1,0.5,100,1.51471959203279e+66,1
100,1,32,0.1,0.5,100,2.24412947360509e+66,1
100,1,33,0.1,0.5,100,1.13685848784615e+63,1
100,1,34,0.1,0.5,100,2.98762210918831e+61,1
100,1,35,0.1,0.5,100,1.59852963575372e+62,1
100,1,36,0.1,0.5,100,1.22612258405865e+67,1
100,1,37,0.1,0.5,100,2.09754732049613e+55,1
100,1,38,0.1,0.5,100,5.29641646622836e+74,1
100,1,39,0.1,0.5,100,1.05682330599972e+71,1
100,1,40,0.1,0.5,100,1.05002824347997e+54,1
100,1,41,0.1,0.5,100,2.97869671761668e+57,1
100,1,42,0.1,0.5,100,9.29321218577334e+53,1
100,1,43,0.1,0.5,100,1.71463758782983e+45,1
100,1,44,0.1,0.5,100,9.87357007717708e+57,1
100,1,45,0.1,0.5,100,1.01213166565831e+66,1
100,1,46,0.1,0.5,100,8.3528866891295e+63,1
100,1,47,0.1,0.5,100,9.77909639798964e+59,1
100,1,48,0.1,0.5,100,5.26254456470462e+69,1
100,1,49,0.1,0.5,100,4.04205502759214e+72,1
100,1,50,0.1,0.5,100,1.51624774071486e+60,1
100,1,51,0.1,0.5,100,8.71505817500829e+54,1
100,1,52,0.1,0.5,100,8.22662657832514e+63,1
100,1,53,0.1,0.5,100,2.03085178583523e+59,1
100,1,54,0.1,0.5,100,6.84745226982734e+49,1
100,1,55,0.1,0.5,100,2.86217090098242e+56,1
100,1,56,0.1,0.5,100,3.92968606659792e+55,1
100,1,57,0.1,0.5,100,2.38233777007656e+56,1
100,1,58,0.1,0.5,100,4.8734429525805e+63,1
100,1,59,0.1,0.5,100,3.72657493376673e+56,1
100,1,60,0.1,0.5,100,2.50379394616249e+62,1
100,1,61,0.1,0.5,100,3.86271064058241e+48,1
100,1,62,0.1,0.5,100,5.01975776800827e+62,1
100,1,63,0.1,0.5,100,9.36065470725604e+64,1
100,1,64,0.1,0.5,100,1.58442190382342e+67,1
100,1,65,0.1,0.5,100,8.89955463948009e+62,1
100,1,66,0.1,0.5,100,8.08047967574975e+73,1
100,1,67,0.1,0.5,100,1.0946772713632e+66,1
100,1,68,0.1,0.5,100,3.58460472846068e+53,1
100,1,69,0.1,0.5,100,4.01302166356264e+61,1
100,1,70,0.1,0.5,100,2.73281611544987e+66,1
100,1,71,0.1,0.5,100,3.67493468310769e+63,1
100,1,72,0.1,0.5,100,7.35752074892022e+60,1
100,1,73,0.1,0.5,100,5.39116726438978e+55,1
100,1,74,0.1,0.5,100,8.40561081730941e+50,1
100,1,75,0.1,0.5,100,4.15525955948915e+64,1
100,1,76,0.1,0.5,100,7.06029180698383e+51,1
100,1,77,0.1,0.5,100,4.121026882145e+42,1
100,1,78,0.1,0.5,100,3.52123923035505e+64,1
100,1,79,0.1,0.5,100,4.42821272031912e+59,1
100,1,80,0.1,0.5,100,3.01956927016053e+51,1
100,1,81,0.1,0.5,100,3.27985780994222e+64,1
100,1,82,0.1,0.5,100,1.46269647083907e+57,1
100,1,83,0.1,0.5,100,1.90178460865532e+61,1
100,1,84,0.1,0.5,100,1.71919107753498e+65,1
100,1,85,0.1,0.5,100,6.65203233763999e+56,1
100,1,86,0.1,0.5,100,1.04774783011807e+51,1
100,1,87,0.1,0.5,100,5.28177387259781e+59,1
100,1,88,0.1,0.5,100,4.58929527983559e+74,1
