n_obs,d,sigma,B,sim,alpha,p_0,test_stat,reject
200,2,1.73205080756888,100,1,0.1,0.5,2.21607483628777e-09,0
200,2,1.73205080756888,100,2,0.1,0.5,2.42709074150518e-09,0
200,2,1.73205080756888,100,3,0.1,0.5,1.4207026793637e-09,0
200,2,1.73205080756888,100,4,0.1,0.5,7.31522810029853e-09,0
200,2,1.73205080756888,100,5,0.1,0.5,7.03612714305253e-09,0
200,2,1.73205080756888,100,6,0.1,0.5,4.77174185807559e-08,0
200,2,1.73205080756888,100,7,0.1,0.5,2.69202064230412e-10,0
200,2,1.73205080756888,100,8,0.1,0.5,1.2208843828207e-09,0
200,2,1.73205080756888,100,9,0.1,0.5,4.26772961107745e-09,0
200,2,1.73205080756888,100,10,0.1,0.5,2.3727471072826e-08,0
200,2,1.73205080756888,100,11,0.1,0.5,4.62510287288497e-09,0
200,2,1.73205080756888,100,12,0.1,0.5,1.20150985228831e-08,0
200,2,1.73205080756888,100,13,0.1,0.5,1.63879748533395e-09,0
200,2,1.73205080756888,100,14,0.1,0.5,9.33156873126888e-09,0
200,2,1.73205080756888,100,15,0.1,0.5,5.83774483343737e-10,0
200,2,1.73205080756888,100,16,0.1,0.5,3.39208446705729e-08,0
200,2,1.73205080756888,100,17,0.1,0.5,2.12255669382515e-09,0
200,2,1.73205080756888,100,18,0.1,0.5,2.25622330795127e-09,0
200,2,1.73205080756888,100,19,0.1,0.5,3.46069334651356e-09,0
200,2,1.73205080756888,100,20,0.1,0.5,1.2888973015334e-08,0
200,2,1.73205080756888,100,21,0.1,0.5,1.1083651148462e-09,0
200,2,1.73205080756888,100,22,0.1,0.5,3.45925701752665e-11,0
200,2,1.73205080756888,100,23,0.1,0.5,9.8167091297964e-11,0
200,2,1.73205080756888,100,24,0.1,0.5,1.22113604057262e-09,0
200,2,1.73205080756888,100,25,0.1,0.5,1.01862240462707e-10,0
200,2,1.73205080756888,100,26,0.1,0.5,5.72090929108708e-09,0
200,2,1.73205080756888,100,27,0.1,0.5,1.56189246723517e-08,0
200,2,1.73205080756888,100,28,0.1,0.5,4.33878103422447e-09,0
200,2,1.73205080756888,100,29,0.1,0.5,1.99162583455479e-09,0
200,2,1.73205080756888,100,30,0.1,0.5,3.79219760798581e-09,0
200,2,1.73205080756888,100,31,0.1,0.5,6.48541362936668e-09,0
200,2,1.73205080756888,100,32,0.1,0.5,8.40367542570678e-09,0
200,2,1.73205080756888,100,33,0.1,0.5,1.49217839031963e-08,0
200,2,1.73205080756888,100,34,0.1,0.5,1.74829820467957e-09,0
200,2,1.73205080756888,100,35,0.1,0.5,2.77602979764911e-09,0
200,2,1.73205080756888,100,36,0.1,0.5,9.77119280662367e-09,0
200,2,1.73205080756888,100,37,0.1,0.5,3.37215263056996e-08,0
