n_obs,d,sigma,B,sim,alpha,p_0,test_stat,reject
900,2,1.73205080756888,100,1,0.1,0.5,2.08494570210839e-06,0
900,2,1.73205080756888,100,2,0.1,0.5,4.42340305343146e-11,0
900,2,1.73205080756888,100,3,0.1,0.5,4.80609514587943e-08,0
900,2,1.73205080756888,100,4,0.1,0.5,8.68535636513595e-07,0
900,2,1.73205080756888,100,5,0.1,0.5,6.02865121346146e-05,0
900,2,1.73205080756888,100,6,0.1,0.5,4.02814451705162e-07,0
900,2,1.73205080756888,100,7,0.1,0.5,1.61850432897239e-06,0
900,2,1.73205080756888,100,8,0.1,0.5,7.11575226285746e-07,0
900,2,1.73205080756888,100,9,0.1,0.5,1.33010546736552e-06,0
900,2,1.73205080756888,100,10,0.1,0.5,2.60883971833687e-08,0
900,2,1.73205080756888,100,11,0.1,0.5,2.78502436247228e+75,1
900,2,1.73205080756888,100,12,0.1,0.5,2.12162936699969e-08,0
900,2,1.73205080756888,100,13,0.1,0.5,4.64614915359909e-07,0
900,2,1.73205080756888,100,14,0.1,0.5,7.16009895815369e-07,0
900,2,1.73205080756888,100,15,0.1,0.5,3.91162843460432e-07,0
900,2,1.73205080756888,100,16,0.1,0.5,118145251.612674,1
900,2,1.73205080756888,100,17,0.1,0.5,1.84465205284919e-07,0
900,2,1.73205080756888,100,18,0.1,0.5,1.33768645917693e-07,0
900,2,1.73205080756888,100,19,0.1,0.5,3.98169896236297e-06,0
900,2,1.73205080756888,100,20,0.1,0.5,4.07032149985671e-08,0
