n_obs,d,sigma,B,sim,alpha,p_0,test_stat,reject
300,2,1.73205080756888,100,1,0.1,0.5,6.69895813988443e-07,0
300,2,1.73205080756888,100,2,0.1,0.5,3.70687046655618e-06,0
300,2,1.73205080756888,100,3,0.1,0.5,2.19720993988906e-05,0
300,2,1.73205080756888,100,4,0.1,0.5,3.00346572480412e-07,0
300,2,1.73205080756888,100,5,0.1,0.5,8.08614467700021e-06,0
300,2,1.73205080756888,100,6,0.1,0.5,1.16788565036941e-06,0
300,2,1.73205080756888,100,7,0.1,0.5,3.18905707777549e-06,0
300,2,1.73205080756888,100,8,0.1,0.5,7.32760996619604e-06,0
300,2,1.73205080756888,100,9,0.1,0.5,8.62353195071071e-06,0
300,2,1.73205080756888,100,10,0.1,0.5,1.20397769832047e-05,0
300,2,1.73205080756888,100,11,0.1,0.5,1.06123092364495e-06,0
300,2,1.73205080756888,100,12,0.1,0.5,3.13484559221024e-05,0
300,2,1.73205080756888,100,13,0.1,0.5,4.4001569496886e-06,0
300,2,1.73205080756888,100,14,0.1,0.5,1.13065707220731e-06,0
300,2,1.73205080756888,100,15,0.1,0.5,279906463.494801,1
300,2,1.73205080756888,100,16,0.1,0.5,1.36907263724362e-06,0
300,2,1.73205080756888,100,17,0.1,0.5,2.21104975373452e-06,0
300,2,1.73205080756888,100,18,0.1,0.5,3.31236994625642e-07,0
300,2,1.73205080756888,100,19,0.1,0.5,4.76395761275887e-06,0
300,2,1.73205080756888,100,20,0.1,0.5,5.91415856534501e-06,0
300,2,1.73205080756888,100,21,0.1,0.5,1.320413545562e-06,0
300,2,1.73205080756888,100,22,0.1,0.5,6.62277436756719e-08,0
300,2,1.73205080756888,100,23,0.1,0.5,4.14172312866094e-06,0
300,2,1.73205080756888,100,24,0.1,0.5,2.02585278331312e-07,0
300,2,1.73205080756888,100,25,0.1,0.5,5.83285154718482e-06,0
300,2,1.73205080756888,100,26,0.1,0.5,1.88285427655359e-07,0
300,2,1.73205080756888,100,27,0.1,0.5,3.05455911717597e-06,0
300,2,1.73205080756888,100,28,0.1,0.5,5.74627277808994e-07,0
300,2,1.73205080756888,100,29,0.1,0.5,3.00516064760837e-06,0
300,2,1.73205080756888,100,30,0.1,0.5,5.88441650566751e-05,0
300,2,1.73205080756888,100,31,0.1,0.5,9.93281319379236e-07,0
300,2,1.73205080756888,100,32,0.1,0.5,3.32478298274144e-06,0
300,2,1.73205080756888,100,33,0.1,0.5,2.16029308103734e-05,0
300,2,1.73205080756888,100,34,0.1,0.5,3.64825212299802e-06,0
300,2,1.73205080756888,100,35,0.1,0.5,1.68758904510498e-06,0
300,2,1.73205080756888,100,36,0.1,0.5,3.05028322931793e-06,0
300,2,1.73205080756888,100,37,0.1,0.5,3.07600657837813e-06,0
300,2,1.73205080756888,100,38,0.1,0.5,0.000135455692794476,0
300,2,1.73205080756888,100,39,0.1,0.5,4.74478248017225e-05,0
300,2,1.73205080756888,100,40,0.1,0.5,1.20795025991118e-07,0
300,2,1.73205080756888,100,41,0.1,0.5,4.64625830853723e-05,0
300,2,1.73205080756888,100,42,0.1,0.5,2.10221338943094e-06,0
300,2,1.73205080756888,100,43,0.1,0.5,6.50628971958157e-05,0
300,2,1.73205080756888,100,44,0.1,0.5,2.36189711185787e-07,0
300,2,1.73205080756888,100,45,0.1,0.5,3.33744705772933e-05,0
300,2,1.73205080756888,100,46,0.1,0.5,1.05565934516225e-06,0
300,2,1.73205080756888,100,47,0.1,0.5,1.67569466363311e-05,0
300,2,1.73205080756888,100,48,0.1,0.5,2.94456416302172e-07,0
300,2,1.73205080756888,100,49,0.1,0.5,1.74066868914832e-05,0
300,2,1.73205080756888,100,50,0.1,0.5,3.415942379701e-06,0
300,2,1.73205080756888,100,51,0.1,0.5,7.5299788191107e-05,0
300,2,1.73205080756888,100,52,0.1,0.5,4.94183298605462e-06,0
300,2,1.73205080756888,100,53,0.1,0.5,1.71377305020543e-05,0
300,2,1.73205080756888,100,54,0.1,0.5,6.92054376429932e-05,0
300,2,1.73205080756888,100,55,0.1,0.5,8.38791731928105e-06,0
300,2,1.73205080756888,100,56,0.1,0.5,2.49321121812972e-07,0
300,2,1.73205080756888,100,57,0.1,0.5,9.4432451809131e-07,0
300,2,1.73205080756888,100,58,0.1,0.5,4.15806532862211e-07,0
300,2,1.73205080756888,100,59,0.1,0.5,6.93013228774379e-07,0
300,2,1.73205080756888,100,60,0.1,0.5,2.26791591660417e-05,0
300,2,1.73205080756888,100,61,0.1,0.5,5.45197862343825e-07,0
300,2,1.73205080756888,100,62,0.1,0.5,1.28079876310344e-05,0
300,2,1.73205080756888,100,63,0.1,0.5,9.40034473561065e-05,0
300,2,1.73205080756888,100,64,0.1,0.5,0.00015142714468831,0
300,2,1.73205080756888,100,65,0.1,0.5,1.9965125738759e-06,0
300,2,1.73205080756888,100,66,0.1,0.5,3.88558097438976e-06,0
300,2,1.73205080756888,100,67,0.1,0.5,4.05629379231054e-06,0
300,2,1.73205080756888,100,68,0.1,0.5,8.80376209045659e-07,0
300,2,1.73205080756888,100,69,0.1,0.5,1.08709322876031e-05,0
300,2,1.73205080756888,100,70,0.1,0.5,1.54163368521611e-08,0
300,2,1.73205080756888,100,71,0.1,0.5,1.72417967127933e-05,0
300,2,1.73205080756888,100,72,0.1,0.5,1.29490040702316e-06,0
300,2,1.73205080756888,100,73,0.1,0.5,1.81795718747721e-05,0
300,2,1.73205080756888,100,74,0.1,0.5,1.60663491387185e-07,0
300,2,1.73205080756888,100,75,0.1,0.5,1.38086336164956e-06,0
300,2,1.73205080756888,100,76,0.1,0.5,9.99340187720932e-07,0
300,2,1.73205080756888,100,77,0.1,0.5,1.37569420533011e-06,0
300,2,1.73205080756888,100,78,0.1,0.5,0.000429941133438572,0
300,2,1.73205080756888,100,79,0.1,0.5,7.4839905404391e-07,0
300,2,1.73205080756888,100,80,0.1,0.5,4.45455201348732e-06,0
300,2,1.73205080756888,100,81,0.1,0.5,6.03301322428913e-05,0
300,2,1.73205080756888,100,82,0.1,0.5,7.00010502746675e-07,0
300,2,1.73205080756888,100,83,0.1,0.5,8.25349155670211e-07,0
300,2,1.73205080756888,100,84,0.1,0.5,2.41879363381533e-07,0
300,2,1.73205080756888,100,85,0.1,0.5,3.1326272701071e-06,0
300,2,1.73205080756888,100,86,0.1,0.5,2.1818617024182e-07,0
300,2,1.73205080756888,100,87,0.1,0.5,4.56139639080628e-08,0
300,2,1.73205080756888,100,88,0.1,0.5,2.38198869229682e-05,0
300,2,1.73205080756888,100,89,0.1,0.5,4.90074155618533e-05,0
300,2,1.73205080756888,100,90,0.1,0.5,1.27467690705384e-05,0
300,2,1.73205080756888,100,91,0.1,0.5,7.78138203188581e-06,0
300,2,1.73205080756888,100,92,0.1,0.5,5.37283998276455e-06,0
300,2,1.73205080756888,100,93,0.1,0.5,0.000326973191014275,0
300,2,1.73205080756888,100,94,0.1,0.5,3.52934493526873e-05,0
300,2,1.73205080756888,100,95,0.1,0.5,1.3800631221896e-06,0
300,2,1.73205080756888,100,96,0.1,0.5,1.76168162795925e-06,0
300,2,1.73205080756888,100,97,0.1,0.5,2.36927657044634e-06,0
300,2,1.73205080756888,100,98,0.1,0.5,1.07254477561111e-07,0
300,2,1.73205080756888,100,99,0.1,0.5,1.59265509525153e-06,0
300,2,1.73205080756888,100,100,0.1,0.5,Inf,1
300,2,1.73205080756888,100,101,0.1,0.5,2.21831097566651e-05,0
300,2,1.73205080756888,100,102,0.1,0.5,8.5898478608066e-08,0
300,2,1.73205080756888,100,103,0.1,0.5,6.62638290165936e-08,0
300,2,1.73205080756888,100,104,0.1,0.5,5.749774986635e-06,0
300,2,1.73205080756888,100,105,0.1,0.5,4.6721110259998e-08,0
300,2,1.73205080756888,100,106,0.1,0.5,1.77253378880566e-06,0
300,2,1.73205080756888,100,107,0.1,0.5,7.30646462824841e-07,0
300,2,1.73205080756888,100,108,0.1,0.5,2.28661539497536e-06,0
300,2,1.73205080756888,100,109,0.1,0.5,1.08418591477179e-05,0
300,2,1.73205080756888,100,110,0.1,0.5,1.08280679116925e-07,0
300,2,1.73205080756888,100,111,0.1,0.5,7.76008788779918e-06,0
300,2,1.73205080756888,100,112,0.1,0.5,8.07246671764575e-07,0
300,2,1.73205080756888,100,113,0.1,0.5,9.27223904966436e-07,0
300,2,1.73205080756888,100,114,0.1,0.5,4.27084342667958e-07,0
300,2,1.73205080756888,100,115,0.1,0.5,4.55104254811029e-07,0
300,2,1.73205080756888,100,116,0.1,0.5,7.80113082944666e-06,0
300,2,1.73205080756888,100,117,0.1,0.5,1.40513354086244e-06,0
300,2,1.73205080756888,100,118,0.1,0.5,3.34539771078791e-06,0
300,2,1.73205080756888,100,119,0.1,0.5,3.17995164718245e-06,0
300,2,1.73205080756888,100,120,0.1,0.5,9.74240184951934e-07,0
300,2,1.73205080756888,100,121,0.1,0.5,7.47606110210999e-06,0
300,2,1.73205080756888,100,122,0.1,0.5,5.7001799172545e-07,0
300,2,1.73205080756888,100,123,0.1,0.5,0.000174680630812457,0
300,2,1.73205080756888,100,124,0.1,0.5,3.75303105615899e-06,0
300,2,1.73205080756888,100,125,0.1,0.5,6.40526751724545e-05,0
300,2,1.73205080756888,100,126,0.1,0.5,6.36640978381745e-06,0
300,2,1.73205080756888,100,127,0.1,0.5,1.07451408008893e-09,0
300,2,1.73205080756888,100,128,0.1,0.5,2.65040203419476e-06,0
300,2,1.73205080756888,100,129,0.1,0.5,1.32477461348677e-07,0
300,2,1.73205080756888,100,130,0.1,0.5,3.94054625194714e-06,0
300,2,1.73205080756888,100,131,0.1,0.5,9.83854924787522e-06,0
300,2,1.73205080756888,100,132,0.1,0.5,6.66103921682331e-07,0
300,2,1.73205080756888,100,133,0.1,0.5,1.9986225846131e-07,0
300,2,1.73205080756888,100,134,0.1,0.5,2.15088880320577e+44,1
300,2,1.73205080756888,100,135,0.1,0.5,3.5059398283337e-06,0
300,2,1.73205080756888,100,136,0.1,0.5,1.95680409480292e-05,0
300,2,1.73205080756888,100,137,0.1,0.5,Inf,1
300,2,1.73205080756888,100,138,0.1,0.5,4.24150983966125e-07,0
300,2,1.73205080756888,100,139,0.1,0.5,2.91858482095651e-06,0
300,2,1.73205080756888,100,140,0.1,0.5,2.11756920138207e-07,0
300,2,1.73205080756888,100,141,0.1,0.5,1.18250456947693e-05,0
300,2,1.73205080756888,100,142,0.1,0.5,1.14604399340625e-05,0
300,2,1.73205080756888,100,143,0.1,0.5,24941475.3380957,1
300,2,1.73205080756888,100,144,0.1,0.5,1.02321084008835e-06,0
300,2,1.73205080756888,100,145,0.1,0.5,8.76284859072651e-07,0
300,2,1.73205080756888,100,146,0.1,0.5,3.19357766988687e-06,0
300,2,1.73205080756888,100,147,0.1,0.5,7.00520140686558e-08,0
300,2,1.73205080756888,100,148,0.1,0.5,3.69302973395488e-06,0
300,2,1.73205080756888,100,149,0.1,0.5,1.01088253701182e-05,0
300,2,1.73205080756888,100,150,0.1,0.5,4.61703961445368e-05,0
300,2,1.73205080756888,100,151,0.1,0.5,2.23494245169185e-05,0
300,2,1.73205080756888,100,152,0.1,0.5,7.8541175741908e-07,0
300,2,1.73205080756888,100,153,0.1,0.5,2.33791152036474e-07,0
300,2,1.73205080756888,100,154,0.1,0.5,1.80410570913478e-06,0
300,2,1.73205080756888,100,155,0.1,0.5,7.61468147164868e-08,0
300,2,1.73205080756888,100,156,0.1,0.5,6.0254153429219e-07,0
300,2,1.73205080756888,100,157,0.1,0.5,4.15581845921954e-07,0
300,2,1.73205080756888,100,158,0.1,0.5,37.8568803157081,1
300,2,1.73205080756888,100,159,0.1,0.5,1.5628250560715e-07,0
300,2,1.73205080756888,100,160,0.1,0.5,9.56991075471434e-06,0
300,2,1.73205080756888,100,161,0.1,0.5,1.35410810161437e-07,0
300,2,1.73205080756888,100,162,0.1,0.5,7.85337256768773e-07,0
300,2,1.73205080756888,100,163,0.1,0.5,4.17336764599859e+25,1
300,2,1.73205080756888,100,164,0.1,0.5,3.46262717734092e+56,1
300,2,1.73205080756888,100,165,0.1,0.5,9.98256177433533e-07,0
300,2,1.73205080756888,100,166,0.1,0.5,8.44981781939374e-06,0
300,2,1.73205080756888,100,167,0.1,0.5,6.96523898106941e-07,0
300,2,1.73205080756888,100,168,0.1,0.5,0.000146770653918639,0
300,2,1.73205080756888,100,169,0.1,0.5,0.000186057294518022,0
300,2,1.73205080756888,100,170,0.1,0.5,9.80712817392767e-06,0
300,2,1.73205080756888,100,171,0.1,0.5,2.42664444818733e-07,0
300,2,1.73205080756888,100,172,0.1,0.5,3.79683600107049e-06,0
300,2,1.73205080756888,100,173,0.1,0.5,0.000160954489866958,0
300,2,1.73205080756888,100,174,0.1,0.5,1.30705594660653e-06,0
300,2,1.73205080756888,100,175,0.1,0.5,6.66121765237161e-06,0
300,2,1.73205080756888,100,176,0.1,0.5,1.7416000480948e-05,0
300,2,1.73205080756888,100,177,0.1,0.5,1.49452093667079e-06,0
300,2,1.73205080756888,100,178,0.1,0.5,7.57151944126829e-07,0
300,2,1.73205080756888,100,179,0.1,0.5,0.000281151991317031,0
300,2,1.73205080756888,100,180,0.1,0.5,2.74972538706557e-07,0
300,2,1.73205080756888,100,181,0.1,0.5,2.47605173422649e-05,0
300,2,1.73205080756888,100,182,0.1,0.5,1.65851668996818e-05,0
300,2,1.73205080756888,100,183,0.1,0.5,5.1674381980585e-06,0
300,2,1.73205080756888,100,184,0.1,0.5,7.97517495016046e-07,0
300,2,1.73205080756888,100,185,0.1,0.5,3.76258180805992e-05,0
300,2,1.73205080756888,100,186,0.1,0.5,4.59135359570954e-07,0
300,2,1.73205080756888,100,187,0.1,0.5,7.99244451089159e-07,0
300,2,1.73205080756888,100,188,0.1,0.5,5.62370656630429e-06,0
300,2,1.73205080756888,100,189,0.1,0.5,7.54987989403274e-06,0
300,2,1.73205080756888,100,190,0.1,0.5,1.40330907212247e-07,0
300,2,1.73205080756888,100,191,0.1,0.5,1.20048996967672e-06,0
300,2,1.73205080756888,100,192,0.1,0.5,2.30050223324871e-06,0
300,2,1.73205080756888,100,193,0.1,0.5,5.56393264491912e-06,0
300,2,1.73205080756888,100,194,0.1,0.5,1.11026194894918e-06,0
300,2,1.73205080756888,100,195,0.1,0.5,6.00306885324395e-06,0
300,2,1.73205080756888,100,196,0.1,0.5,2.92099764992576e-05,0
300,2,1.73205080756888,100,197,0.1,0.5,3.30506618754813e-07,0
300,2,1.73205080756888,100,198,0.1,0.5,6.7537649091739e-08,0
300,2,1.73205080756888,100,199,0.1,0.5,3.22146458534437e-06,0
300,2,1.73205080756888,100,200,0.1,0.5,8.05529653123623e-08,0
