Method,n_obs,d,mu_norm,equal_space_mu,B,sim,alpha,p_0,time_sec
"Full oracle, d-dim",100,1,0,0,100,1,0.1,0.5,6.674
"Full oracle, d-dim",100,1,5,0,100,1,0.1,0.5,0.858
"Full oracle, d-dim",100,1,10,0,100,1,0.1,0.5,0.0659999999999998
"Full oracle, d-dim",100,1,0,0,100,2,0.1,0.5,6.361
"Full oracle, d-dim",100,1,5,0,100,2,0.1,0.5,0.181
"Full oracle, d-dim",100,1,10,0,100,2,0.1,0.5,0.105
"Full oracle, d-dim",100,1,0,0,100,3,0.1,0.5,6.073
"Full oracle, d-dim",100,1,5,0,100,3,0.1,0.5,2.802
"Full oracle, d-dim",100,1,10,0,100,3,0.1,0.5,0.114
"Full oracle, d-dim",100,1,0,0,100,4,0.1,0.5,6.067
"Full oracle, d-dim",100,1,5,0,100,4,0.1,0.5,0.127
"Full oracle, d-dim",100,1,10,0,100,4,0.1,0.5,0.0580000000000003
"Full oracle, d-dim",100,1,0,0,100,5,0.1,0.5,5.808
"Full oracle, d-dim",100,1,5,0,100,5,0.1,0.5,2.595
"Full oracle, d-dim",100,1,10,0,100,5,0.1,0.5,0.0609999999999999
"Full oracle, d-dim",100,1,0,0,100,6,0.1,0.5,5.754
"Full oracle, d-dim",100,1,5,0,100,6,0.1,0.5,1.299
"Full oracle, d-dim",100,1,10,0,100,6,0.1,0.5,0.0630000000000002
"Full oracle, d-dim",100,1,0,0,100,7,0.1,0.5,5.866
"Full oracle, d-dim",100,1,5,0,100,7,0.1,0.5,0.0689999999999991
"Full oracle, d-dim",100,1,10,0,100,7,0.1,0.5,0.065
"Full oracle, d-dim",100,1,0,0,100,8,0.1,0.5,5.856
"Full oracle, d-dim",100,1,5,0,100,8,0.1,0.5,0.861000000000001
"Full oracle, d-dim",100,1,10,0,100,8,0.1,0.5,0.069
"Full oracle, d-dim",100,1,0,0,100,9,0.1,0.5,6.45500000000001
"Full oracle, d-dim",100,1,5,0,100,9,0.1,0.5,3.171
"Full oracle, d-dim",100,1,10,0,100,9,0.1,0.5,0.0700000000000003
"Full oracle, d-dim",100,1,0,0,100,10,0.1,0.5,5.799
"Full oracle, d-dim",100,1,5,0,100,10,0.1,0.5,0.0660000000000007
"Full oracle, d-dim",100,1,10,0,100,10,0.1,0.5,0.0609999999999999
"Full oracle, d-dim",100,2,0,0,100,1,0.1,0.5,20.344
"Full oracle, d-dim",100,2,5,0,100,1,0.1,0.5,21.873
"Full oracle, d-dim",100,2,10,0,100,1,0.1,0.5,0.586
"Full oracle, d-dim",100,2,0,0,100,2,0.1,0.5,19.461
"Full oracle, d-dim",100,2,5,0,100,2,0.1,0.5,21.465
"Full oracle, d-dim",100,2,10,0,100,2,0.1,0.5,0.303
