Method,n_obs,d,mu_norm,equal_space_mu,B,sim,alpha,p_0,time_sec
"Fully nonparametric, axis-aligned projections",100,1,0,0,100,1,0.1,0.5,6.72
"Fully nonparametric, axis-aligned projections",100,1,0,0,100,2,0.1,0.5,6.762
"Fully nonparametric, axis-aligned projections",100,1,0,0,100,3,0.1,0.5,6.42
"Fully nonparametric, axis-aligned projections",100,1,0,0,100,4,0.1,0.5,6.517
"Fully nonparametric, axis-aligned projections",100,1,0,0,100,5,0.1,0.5,6.63
"Fully nonparametric, axis-aligned projections",100,1,0,0,100,6,0.1,0.5,6.499
"Fully nonparametric, axis-aligned projections",100,1,0,0,100,7,0.1,0.5,6.629
"Fully nonparametric, axis-aligned projections",100,1,0,0,100,8,0.1,0.5,6.287
"Fully nonparametric, axis-aligned projections",100,1,0,0,100,9,0.1,0.5,6.481
"Fully nonparametric, axis-aligned projections",100,1,0,0,100,10,0.1,0.5,6.468
"Fully nonparametric, axis-aligned projections",100,1,5,0,100,1,0.1,0.5,1.82
"Fully nonparametric, axis-aligned projections",100,1,5,0,100,2,0.1,0.5,6.939
"Fully nonparametric, axis-aligned projections",100,1,5,0,100,3,0.1,0.5,6.435
"Fully nonparametric, axis-aligned projections",100,1,5,0,100,4,0.1,0.5,1.8
"Fully nonparametric, axis-aligned projections",100,1,5,0,100,5,0.1,0.5,0.893000000000001
"Fully nonparametric, axis-aligned projections",100,1,5,0,100,6,0.1,0.5,6.003
"Fully nonparametric, axis-aligned projections",100,1,5,0,100,7,0.1,0.5,5.997
"Fully nonparametric, axis-aligned projections",100,1,5,0,100,8,0.1,0.5,0.424
"Fully nonparametric, axis-aligned projections",100,1,5,0,100,9,0.1,0.5,4.973
"Fully nonparametric, axis-aligned projections",100,1,5,0,100,10,0.1,0.5,6.693
"Fully nonparametric, axis-aligned projections",100,1,10,0,100,1,0.1,0.5,0.0710000000000002
"Fully nonparametric, axis-aligned projections",100,1,10,0,100,2,0.1,0.5,0.0630000000000002
"Fully nonparametric, axis-aligned projections",100,1,10,0,100,3,0.1,0.5,0.0549999999999997
"Fully nonparametric, axis-aligned projections",100,1,10,0,100,4,0.1,0.5,0.0489999999999999
"Fully nonparametric, axis-aligned projections",100,1,10,0,100,5,0.1,0.5,0.0520000000000001
"Fully nonparametric, axis-aligned projections",100,1,10,0,100,6,0.1,0.5,0.0599999999999996
"Fully nonparametric, axis-aligned projections",100,1,10,0,100,7,0.1,0.5,0.0470000000000002
"Fully nonparametric, axis-aligned projections",100,1,10,0,100,8,0.1,0.5,0.0539999999999998
"Fully nonparametric, axis-aligned projections",100,1,10,0,100,9,0.1,0.5,0.0510000000000002
"Fully nonparametric, axis-aligned projections",100,1,10,0,100,10,0.1,0.5,0.0579999999999998
"Fully nonparametric, axis-aligned projections",100,2,0,0,100,1,0.1,0.5,12.148
"Fully nonparametric, axis-aligned projections",100,2,0,0,100,2,0.1,0.5,11.71
"Fully nonparametric, axis-aligned projections",100,2,0,0,100,3,0.1,0.5,12.065
"Fully nonparametric, axis-aligned projections",100,2,0,0,100,4,0.1,0.5,11.824
"Fully nonparametric, axis-aligned projections",100,2,0,0,100,5,0.1,0.5,11.844
"Fully nonparametric, axis-aligned projections",100,2,0,0,100,6,0.1,0.5,11.798
"Fully nonparametric, axis-aligned projections",100,2,0,0,100,7,0.1,0.5,11.827
"Fully nonparametric, axis-aligned projections",100,2,0,0,100,8,0.1,0.5,11.864
"Fully nonparametric, axis-aligned projections",100,2,0,0,100,9,0.1,0.5,11.975
"Fully nonparametric, axis-aligned projections",100,2,0,0,100,10,0.1,0.5,11.801
"Fully nonparametric, axis-aligned projections",100,2,5,0,100,1,0.1,0.5,12.028
"Fully nonparametric, axis-aligned projections",100,2,5,0,100,2,0.1,0.5,11.524
"Fully nonparametric, axis-aligned projections",100,2,5,0,100,3,0.1,0.5,0.896000000000001
