Method,n_obs,d,mu_norm,equal_space_mu,n_proj,B,sim,alpha,p_0,time_sec
"Fully nonparametric, random projections",100,1,0,0,100,100,1,0.1,0.5,107.171
"Fully nonparametric, random projections",100,1,5,0,100,100,1,0.1,0.5,112.208
"Fully nonparametric, random projections",100,1,10,0,100,100,1,0.1,0.5,0.936
"Fully nonparametric, random projections",100,1,0,0,100,100,2,0.1,0.5,123.365
"Fully nonparametric, random projections",100,1,5,0,100,100,2,0.1,0.5,79.285
"Fully nonparametric, random projections",100,1,10,0,100,100,2,0.1,0.5,0.8
"Fully nonparametric, random projections",100,1,0,0,100,100,3,0.1,0.5,126.703
"Fully nonparametric, random projections",100,1,5,0,100,100,3,0.1,0.5,55.185
"Fully nonparametric, random projections",100,1,10,0,100,100,3,0.1,0.5,0.754
"Fully nonparametric, random projections",100,1,0,0,100,100,4,0.1,0.5,140.431
"Fully nonparametric, random projections",100,1,5,0,100,100,4,0.1,0.5,59.991
"Fully nonparametric, random projections",100,1,10,0,100,100,4,0.1,0.5,0.451
"Fully nonparametric, random projections",100,1,0,0,100,100,5,0.1,0.5,120.083
"Fully nonparametric, random projections",100,1,5,0,100,100,5,0.1,0.5,67.868
"Fully nonparametric, random projections",100,1,10,0,100,100,5,0.1,0.5,0.754
"Fully nonparametric, random projections",100,1,0,0,100,100,6,0.1,0.5,119.301
"Fully nonparametric, random projections",100,1,5,0,100,100,6,0.1,0.5,106.3
"Fully nonparametric, random projections",100,1,10,0,100,100,6,0.1,0.5,0.513
"Fully nonparametric, random projections",100,1,0,0,100,100,7,0.1,0.5,118.044
"Fully nonparametric, random projections",100,1,5,0,100,100,7,0.1,0.5,2.73900000000003
"Fully nonparametric, random projections",100,1,10,0,100,100,7,0.1,0.5,0.558
"Fully nonparametric, random projections",100,1,0,0,100,100,8,0.1,0.5,110.196
"Fully nonparametric, random projections",100,1,5,0,100,100,8,0.1,0.5,101.835
"Fully nonparametric, random projections",100,1,10,0,100,100,8,0.1,0.5,0.637999999999999
"Fully nonparametric, random projections",100,1,0,0,100,100,9,0.1,0.5,121.057
"Fully nonparametric, random projections",100,1,5,0,100,100,9,0.1,0.5,7.42400000000009
"Fully nonparametric, random projections",100,1,10,0,100,100,9,0.1,0.5,0.746
"Fully nonparametric, random projections",100,1,0,0,100,100,10,0.1,0.5,121.132
"Fully nonparametric, random projections",100,1,5,0,100,100,10,0.1,0.5,113.558
"Fully nonparametric, random projections",100,1,10,0,100,100,10,0.1,0.5,0.571
"Fully nonparametric, random projections",100,2,0,0,100,100,1,0.1,0.5,108.632
"Fully nonparametric, random projections",100,2,5,0,100,100,1,0.1,0.5,103.68
"Fully nonparametric, random projections",100,2,10,0,100,100,1,0.1,0.5,3.138
"Fully nonparametric, random projections",100,2,0,0,100,100,2,0.1,0.5,114.805
"Fully nonparametric, random projections",100,2,5,0,100,100,2,0.1,0.5,98.78
"Fully nonparametric, random projections",100,2,10,0,100,100,2,0.1,0.5,2.929
"Fully nonparametric, random projections",100,2,0,0,100,100,3,0.1,0.5,110.959
"Fully nonparametric, random projections",100,2,5,0,100,100,3,0.1,0.5,116.17
"Fully nonparametric, random projections",100,2,10,0,100,100,3,0.1,0.5,0.792
"Fully nonparametric, random projections",100,2,0,0,100,100,4,0.1,0.5,123.443
"Fully nonparametric, random projections",100,2,5,0,100,100,4,0.1,0.5,106.036
"Fully nonparametric, random projections",100,2,10,0,100,100,4,0.1,0.5,0.676
"Fully nonparametric, random projections",100,2,0,0,100,100,5,0.1,0.5,114.993
"Fully nonparametric, random projections",100,2,5,0,100,100,5,0.1,0.5,97.215
"Fully nonparametric, random projections",100,2,10,0,100,100,5,0.1,0.5,0.904
"Fully nonparametric, random projections",100,2,0,0,100,100,6,0.1,0.5,109.152
"Fully nonparametric, random projections",100,2,5,0,100,100,6,0.1,0.5,102.523
"Fully nonparametric, random projections",100,2,10,0,100,100,6,0.1,0.5,0.707000000000001
"Fully nonparametric, random projections",100,2,0,0,100,100,7,0.1,0.5,112.776
"Fully nonparametric, random projections",100,2,5,0,100,100,7,0.1,0.5,84.0119999999999
"Fully nonparametric, random projections",100,2,10,0,100,100,7,0.1,0.5,0.443
"Fully nonparametric, random projections",100,2,0,0,100,100,8,0.1,0.5,115.566
"Fully nonparametric, random projections",100,2,5,0,100,100,8,0.1,0.5,109.472
"Fully nonparametric, random projections",100,2,10,0,100,100,8,0.1,0.5,1.767
"Fully nonparametric, random projections",100,2,0,0,100,100,9,0.1,0.5,118.466
"Fully nonparametric, random projections",100,2,5,0,100,100,9,0.1,0.5,105.758
"Fully nonparametric, random projections",100,2,10,0,100,100,9,0.1,0.5,0.808
"Fully nonparametric, random projections",100,2,0,0,100,100,10,0.1,0.5,120.198
"Fully nonparametric, random projections",100,2,5,0,100,100,10,0.1,0.5,109.411
"Fully nonparametric, random projections",100,2,10,0,100,100,10,0.1,0.5,0.783
"Fully nonparametric, random projections",100,3,0,0,100,100,1,0.1,0.5,121.79
