Method,n_obs,d,mu_norm,equal_space_mu,B,sim,alpha,p_0,time_sec
"Partial oracle, axis-aligned projections",100,1,0,0,100,1,0.1,0.5,9.637
"Partial oracle, axis-aligned projections",100,1,0,0,100,2,0.1,0.5,9.566
"Partial oracle, axis-aligned projections",100,1,0,0,100,3,0.1,0.5,9.226
"Partial oracle, axis-aligned projections",100,1,0,0,100,4,0.1,0.5,9.162
"Partial oracle, axis-aligned projections",100,1,0,0,100,5,0.1,0.5,9.785
"Partial oracle, axis-aligned projections",100,1,0,0,100,6,0.1,0.5,9.536
"Partial oracle, axis-aligned projections",100,1,0,0,100,7,0.1,0.5,9.258
"Partial oracle, axis-aligned projections",100,1,0,0,100,8,0.1,0.5,9.297
"Partial oracle, axis-aligned projections",100,1,0,0,100,9,0.1,0.5,9.14699999999999
"Partial oracle, axis-aligned projections",100,1,0,0,100,10,0.1,0.5,9.075
"Partial oracle, axis-aligned projections",100,1,5,0,100,1,0.1,0.5,1.551
"Partial oracle, axis-aligned projections",100,1,5,0,100,2,0.1,0.5,9.624
"Partial oracle, axis-aligned projections",100,1,5,0,100,3,0.1,0.5,0.906000000000002
"Partial oracle, axis-aligned projections",100,1,5,0,100,4,0.1,0.5,9.423
"Partial oracle, axis-aligned projections",100,1,5,0,100,5,0.1,0.5,0.564999999999998
"Partial oracle, axis-aligned projections",100,1,5,0,100,6,0.1,0.5,1.771
"Partial oracle, axis-aligned projections",100,1,5,0,100,7,0.1,0.5,9.36
"Partial oracle, axis-aligned projections",100,1,5,0,100,8,0.1,0.5,1.068
"Partial oracle, axis-aligned projections",100,1,5,0,100,9,0.1,0.5,0.896000000000001
"Partial oracle, axis-aligned projections",100,1,5,0,100,10,0.1,0.5,9.517
"Partial oracle, axis-aligned projections",100,1,10,0,100,1,0.1,0.5,0.107
"Partial oracle, axis-aligned projections",100,1,10,0,100,2,0.1,0.5,0.0780000000000003
"Partial oracle, axis-aligned projections",100,1,10,0,100,3,0.1,0.5,0.0910000000000002
"Partial oracle, axis-aligned projections",100,1,10,0,100,4,0.1,0.5,0.0810000000000004
"Partial oracle, axis-aligned projections",100,1,10,0,100,5,0.1,0.5,0.0919999999999996
"Partial oracle, axis-aligned projections",100,1,10,0,100,6,0.1,0.5,0.0759999999999996
"Partial oracle, axis-aligned projections",100,1,10,0,100,7,0.1,0.5,0.0940000000000003
"Partial oracle, axis-aligned projections",100,1,10,0,100,8,0.1,0.5,0.0789999999999997
"Partial oracle, axis-aligned projections",100,1,10,0,100,9,0.1,0.5,0.0979999999999999
"Partial oracle, axis-aligned projections",100,1,10,0,100,10,0.1,0.5,0.0819999999999999
"Partial oracle, axis-aligned projections",100,2,0,0,100,1,0.1,0.5,19.437
"Partial oracle, axis-aligned projections",100,2,0,0,100,2,0.1,0.5,19.033
"Partial oracle, axis-aligned projections",100,2,0,0,100,3,0.1,0.5,18.862
"Partial oracle, axis-aligned projections",100,2,0,0,100,4,0.1,0.5,17.629
"Partial oracle, axis-aligned projections",100,2,0,0,100,5,0.1,0.5,16.739
"Partial oracle, axis-aligned projections",100,2,0,0,100,6,0.1,0.5,18.843
"Partial oracle, axis-aligned projections",100,2,0,0,100,7,0.1,0.5,17.977
"Partial oracle, axis-aligned projections",100,2,0,0,100,8,0.1,0.5,18.169
"Partial oracle, axis-aligned projections",100,2,0,0,100,9,0.1,0.5,18.307
"Partial oracle, axis-aligned projections",100,2,0,0,100,10,0.1,0.5,17.993
"Partial oracle, axis-aligned projections",100,2,5,0,100,1,0.1,0.5,3.468
"Partial oracle, axis-aligned projections",100,2,5,0,100,2,0.1,0.5,19.196
"Partial oracle, axis-aligned projections",100,2,5,0,100,3,0.1,0.5,1.673
"Partial oracle, axis-aligned projections",100,2,5,0,100,4,0.1,0.5,0.260000000000002
"Partial oracle, axis-aligned projections",100,2,5,0,100,5,0.1,0.5,3.849
"Partial oracle, axis-aligned projections",100,2,5,0,100,6,0.1,0.5,8.511
"Partial oracle, axis-aligned projections",100,2,5,0,100,7,0.1,0.5,0.365000000000002
"Partial oracle, axis-aligned projections",100,2,5,0,100,8,0.1,0.5,18.172
"Partial oracle, axis-aligned projections",100,2,5,0,100,9,0.1,0.5,0.253
"Partial oracle, axis-aligned projections",100,2,5,0,100,10,0.1,0.5,16.746
"Partial oracle, axis-aligned projections",100,2,10,0,100,1,0.1,0.5,0.191
"Partial oracle, axis-aligned projections",100,2,10,0,100,2,0.1,0.5,0.182
"Partial oracle, axis-aligned projections",100,2,10,0,100,3,0.1,0.5,0.186
"Partial oracle, axis-aligned projections",100,2,10,0,100,4,0.1,0.5,0.207
"Partial oracle, axis-aligned projections",100,2,10,0,100,5,0.1,0.5,0.191
"Partial oracle, axis-aligned projections",100,2,10,0,100,6,0.1,0.5,0.303
"Partial oracle, axis-aligned projections",100,2,10,0,100,7,0.1,0.5,0.194
"Partial oracle, axis-aligned projections",100,2,10,0,100,8,0.1,0.5,0.222
"Partial oracle, axis-aligned projections",100,2,10,0,100,9,0.1,0.5,0.180999999999999
"Partial oracle, axis-aligned projections",100,2,10,0,100,10,0.1,0.5,0.265
"Partial oracle, axis-aligned projections",100,3,0,0,100,1,0.1,0.5,35.23
"Partial oracle, axis-aligned projections",100,3,0,0,100,2,0.1,0.5,31.893
"Partial oracle, axis-aligned projections",100,3,0,0,100,3,0.1,0.5,31.574
"Partial oracle, axis-aligned projections",100,3,0,0,100,4,0.1,0.5,31.744
"Partial oracle, axis-aligned projections",100,3,0,0,100,5,0.1,0.5,33.752
"Partial oracle, axis-aligned projections",100,3,0,0,100,6,0.1,0.5,32.148
"Partial oracle, axis-aligned projections",100,3,0,0,100,7,0.1,0.5,32.312
"Partial oracle, axis-aligned projections",100,3,0,0,100,8,0.1,0.5,29.928
"Partial oracle, axis-aligned projections",100,3,0,0,100,9,0.1,0.5,30.606
"Partial oracle, axis-aligned projections",100,3,0,0,100,10,0.1,0.5,32.285
"Partial oracle, axis-aligned projections",100,3,5,0,100,1,0.1,0.5,27.805
"Partial oracle, axis-aligned projections",100,3,5,0,100,2,0.1,0.5,8.373
"Partial oracle, axis-aligned projections",100,3,5,0,100,3,0.1,0.5,26.002
"Partial oracle, axis-aligned projections",100,3,5,0,100,4,0.1,0.5,0.888000000000005
"Partial oracle, axis-aligned projections",100,3,5,0,100,5,0.1,0.5,25.536
"Partial oracle, axis-aligned projections",100,3,5,0,100,6,0.1,0.5,26.971
"Partial oracle, axis-aligned projections",100,3,5,0,100,7,0.1,0.5,5.711
"Partial oracle, axis-aligned projections",100,3,5,0,100,8,0.1,0.5,26.918
"Partial oracle, axis-aligned projections",100,3,5,0,100,9,0.1,0.5,26.621
"Partial oracle, axis-aligned projections",100,3,5,0,100,10,0.1,0.5,24.91
"Partial oracle, axis-aligned projections",100,3,10,0,100,1,0.1,0.5,0.288
"Partial oracle, axis-aligned projections",100,3,10,0,100,2,0.1,0.5,0.254999999999999
"Partial oracle, axis-aligned projections",100,3,10,0,100,3,0.1,0.5,0.314
"Partial oracle, axis-aligned projections",100,3,10,0,100,4,0.1,0.5,0.396
"Partial oracle, axis-aligned projections",100,3,10,0,100,5,0.1,0.5,0.257000000000001
"Partial oracle, axis-aligned projections",100,3,10,0,100,6,0.1,0.5,0.269
"Partial oracle, axis-aligned projections",100,3,10,0,100,7,0.1,0.5,0.272
"Partial oracle, axis-aligned projections",100,3,10,0,100,8,0.1,0.5,0.274
"Partial oracle, axis-aligned projections",100,3,10,0,100,9,0.1,0.5,0.262
"Partial oracle, axis-aligned projections",100,3,10,0,100,10,0.1,0.5,0.266
"Partial oracle, axis-aligned projections",100,4,0,0,100,1,0.1,0.5,35.412
"Partial oracle, axis-aligned projections",100,4,0,0,100,2,0.1,0.5,37.067
"Partial oracle, axis-aligned projections",100,4,0,0,100,3,0.1,0.5,35.521
"Partial oracle, axis-aligned projections",100,4,0,0,100,4,0.1,0.5,30.7
"Partial oracle, axis-aligned projections",100,4,0,0,100,5,0.1,0.5,29.606
"Partial oracle, axis-aligned projections",100,4,0,0,100,6,0.1,0.5,30.661
"Partial oracle, axis-aligned projections",100,4,0,0,100,7,0.1,0.5,30.644
"Partial oracle, axis-aligned projections",100,4,0,0,100,8,0.1,0.5,28.748
"Partial oracle, axis-aligned projections",100,4,0,0,100,9,0.1,0.5,31.776
"Partial oracle, axis-aligned projections",100,4,0,0,100,10,0.1,0.5,39.915
"Partial oracle, axis-aligned projections",100,4,5,0,100,1,0.1,0.5,0.331
"Partial oracle, axis-aligned projections",100,4,5,0,100,2,0.1,0.5,3.209
"Partial oracle, axis-aligned projections",100,4,5,0,100,3,0.1,0.5,36.983
"Partial oracle, axis-aligned projections",100,4,5,0,100,4,0.1,0.5,37.077
"Partial oracle, axis-aligned projections",100,4,5,0,100,5,0.1,0.5,3.97099999999999
"Partial oracle, axis-aligned projections",100,4,5,0,100,6,0.1,0.5,33.176
"Partial oracle, axis-aligned projections",100,4,5,0,100,7,0.1,0.5,29.341
"Partial oracle, axis-aligned projections",100,4,5,0,100,8,0.1,0.5,0.766999999999996
"Partial oracle, axis-aligned projections",100,4,5,0,100,9,0.1,0.5,3.27099999999999
"Partial oracle, axis-aligned projections",100,4,5,0,100,10,0.1,0.5,0.856999999999999
"Partial oracle, axis-aligned projections",100,4,10,0,100,1,0.1,0.5,0.298
"Partial oracle, axis-aligned projections",100,4,10,0,100,2,0.1,0.5,0.295
"Partial oracle, axis-aligned projections",100,4,10,0,100,3,0.1,0.5,0.412
"Partial oracle, axis-aligned projections",100,4,10,0,100,4,0.1,0.5,0.307
"Partial oracle, axis-aligned projections",100,4,10,0,100,5,0.1,0.5,0.312
"Partial oracle, axis-aligned projections",100,4,10,0,100,6,0.1,0.5,0.479
"Partial oracle, axis-aligned projections",100,4,10,0,100,7,0.1,0.5,0.305999999999999
"Partial oracle, axis-aligned projections",100,4,10,0,100,8,0.1,0.5,0.319
"Partial oracle, axis-aligned projections",100,4,10,0,100,9,0.1,0.5,0.329000000000001
"Partial oracle, axis-aligned projections",100,4,10,0,100,10,0.1,0.5,0.322
