Method,n_obs,d,mu_norm,equal_space_mu,B,sim,alpha,p_0,time_sec
"Partial oracle, d-dim",100,1,0,0,100,1,0.1,0.5,6.921
"Partial oracle, d-dim",100,1,5,0,100,1,0.1,0.5,7.068
"Partial oracle, d-dim",100,1,10,0,100,1,0.1,0.5,0.0820000000000003
"Partial oracle, d-dim",100,1,0,0,100,2,0.1,0.5,6.474
"Partial oracle, d-dim",100,1,5,0,100,2,0.1,0.5,6.792
"Partial oracle, d-dim",100,1,10,0,100,2,0.1,0.5,0.18
"Partial oracle, d-dim",100,1,0,0,100,3,0.1,0.5,6.731
"Partial oracle, d-dim",100,1,5,0,100,3,0.1,0.5,1.968
"Partial oracle, d-dim",100,1,10,0,100,3,0.1,0.5,0.0659999999999998
"Partial oracle, d-dim",100,1,0,0,100,4,0.1,0.5,6.502
"Partial oracle, d-dim",100,1,5,0,100,4,0.1,0.5,2.054
"Partial oracle, d-dim",100,1,10,0,100,4,0.1,0.5,0.0710000000000002
"Partial oracle, d-dim",100,1,0,0,100,5,0.1,0.5,6.241
"Partial oracle, d-dim",100,1,5,0,100,5,0.1,0.5,1.2
"Partial oracle, d-dim",100,1,10,0,100,5,0.1,0.5,0.187
"Partial oracle, d-dim",100,1,0,0,100,6,0.1,0.5,6.524
"Partial oracle, d-dim",100,1,5,0,100,6,0.1,0.5,3.139
"Partial oracle, d-dim",100,1,10,0,100,6,0.1,0.5,0.0710000000000002
"Partial oracle, d-dim",100,1,0,0,100,7,0.1,0.5,6.651
"Partial oracle, d-dim",100,1,5,0,100,7,0.1,0.5,1.669
"Partial oracle, d-dim",100,1,10,0,100,7,0.1,0.5,0.0640000000000001
"Partial oracle, d-dim",100,1,0,0,100,8,0.1,0.5,6.49
"Partial oracle, d-dim",100,1,5,0,100,8,0.1,0.5,6.772
"Partial oracle, d-dim",100,1,10,0,100,8,0.1,0.5,0.0619999999999998
"Partial oracle, d-dim",100,1,0,0,100,9,0.1,0.5,6.406
"Partial oracle, d-dim",100,1,5,0,100,9,0.1,0.5,1.556
"Partial oracle, d-dim",100,1,10,0,100,9,0.1,0.5,0.073
"Partial oracle, d-dim",100,1,0,0,100,10,0.1,0.5,6.757
"Partial oracle, d-dim",100,1,5,0,100,10,0.1,0.5,6.777
"Partial oracle, d-dim",100,1,10,0,100,10,0.1,0.5,0.0700000000000003
"Partial oracle, d-dim",100,2,0,0,100,1,0.1,0.5,21.046
"Partial oracle, d-dim",100,2,5,0,100,1,0.1,0.5,21.987
"Partial oracle, d-dim",100,2,10,0,100,1,0.1,0.5,0.243
"Partial oracle, d-dim",100,2,0,0,100,2,0.1,0.5,20.598
"Partial oracle, d-dim",100,2,5,0,100,2,0.1,0.5,22.459
"Partial oracle, d-dim",100,2,10,0,100,2,0.1,0.5,0.31
"Partial oracle, d-dim",100,2,0,0,100,3,0.1,0.5,20.018
"Partial oracle, d-dim",100,2,5,0,100,3,0.1,0.5,22.089
"Partial oracle, d-dim",100,2,10,0,100,3,0.1,0.5,1.229
"Partial oracle, d-dim",100,2,0,0,100,4,0.1,0.5,21.142
"Partial oracle, d-dim",100,2,5,0,100,4,0.1,0.5,21.302
"Partial oracle, d-dim",100,2,10,0,100,4,0.1,0.5,0.825
"Partial oracle, d-dim",100,2,0,0,100,5,0.1,0.5,20.796
"Partial oracle, d-dim",100,2,5,0,100,5,0.1,0.5,22.684
"Partial oracle, d-dim",100,2,10,0,100,5,0.1,0.5,0.19
"Partial oracle, d-dim",100,2,0,0,100,6,0.1,0.5,21.12
"Partial oracle, d-dim",100,2,5,0,100,6,0.1,0.5,21.287
"Partial oracle, d-dim",100,2,10,0,100,6,0.1,0.5,0.437
"Partial oracle, d-dim",100,2,0,0,100,7,0.1,0.5,20.587
"Partial oracle, d-dim",100,2,5,0,100,7,0.1,0.5,22.234
"Partial oracle, d-dim",100,2,10,0,100,7,0.1,0.5,0.272
"Partial oracle, d-dim",100,2,0,0,100,8,0.1,0.5,21.283
"Partial oracle, d-dim",100,2,5,0,100,8,0.1,0.5,21.738
"Partial oracle, d-dim",100,2,10,0,100,8,0.1,0.5,0.209
"Partial oracle, d-dim",100,2,0,0,100,9,0.1,0.5,21.063
"Partial oracle, d-dim",100,2,5,0,100,9,0.1,0.5,21.492
"Partial oracle, d-dim",100,2,10,0,100,9,0.1,0.5,2.893
"Partial oracle, d-dim",100,2,0,0,100,10,0.1,0.5,20.452
"Partial oracle, d-dim",100,2,5,0,100,10,0.1,0.5,21.39
"Partial oracle, d-dim",100,2,10,0,100,10,0.1,0.5,0.239000000000001
"Partial oracle, d-dim",100,3,0,0,100,1,0.1,0.5,68.685
"Partial oracle, d-dim",100,3,5,0,100,1,0.1,0.5,75.628
"Partial oracle, d-dim",100,3,10,0,100,1,0.1,0.5,74.956
"Partial oracle, d-dim",100,3,0,0,100,2,0.1,0.5,72.205
"Partial oracle, d-dim",100,3,5,0,100,2,0.1,0.5,71.209
"Partial oracle, d-dim",100,3,10,0,100,2,0.1,0.5,78.094
"Partial oracle, d-dim",100,3,0,0,100,3,0.1,0.5,71.303
"Partial oracle, d-dim",100,3,5,0,100,3,0.1,0.5,75.099
"Partial oracle, d-dim",100,3,10,0,100,3,0.1,0.5,78.003
"Partial oracle, d-dim",100,3,0,0,100,4,0.1,0.5,75.247
"Partial oracle, d-dim",100,3,5,0,100,4,0.1,0.5,69.38
"Partial oracle, d-dim",100,3,10,0,100,4,0.1,0.5,76.66
"Partial oracle, d-dim",100,3,0,0,100,5,0.1,0.5,72.007
"Partial oracle, d-dim",100,3,5,0,100,5,0.1,0.5,71.76
"Partial oracle, d-dim",100,3,10,0,100,5,0.1,0.5,72.662
"Partial oracle, d-dim",100,3,0,0,100,6,0.1,0.5,70.462
"Partial oracle, d-dim",100,3,5,0,100,6,0.1,0.5,74.415
"Partial oracle, d-dim",100,3,10,0,100,6,0.1,0.5,77.566
"Partial oracle, d-dim",100,3,0,0,100,7,0.1,0.5,71.288
"Partial oracle, d-dim",100,3,5,0,100,7,0.1,0.5,78.415
"Partial oracle, d-dim",100,3,10,0,100,7,0.1,0.5,72.4789999999999
"Partial oracle, d-dim",100,3,0,0,100,8,0.1,0.5,71.633
"Partial oracle, d-dim",100,3,5,0,100,8,0.1,0.5,72.1329999999999
"Partial oracle, d-dim",100,3,10,0,100,8,0.1,0.5,70.547
"Partial oracle, d-dim",100,3,0,0,100,9,0.1,0.5,74.019
"Partial oracle, d-dim",100,3,5,0,100,9,0.1,0.5,77.8539999999999
"Partial oracle, d-dim",100,3,10,0,100,9,0.1,0.5,76.948
"Partial oracle, d-dim",100,3,0,0,100,10,0.1,0.5,67.798
"Partial oracle, d-dim",100,3,5,0,100,10,0.1,0.5,70.843
"Partial oracle, d-dim",100,3,10,0,100,10,0.1,0.5,74.386
"Partial oracle, d-dim",100,4,0,0,100,1,0.1,0.5,290.073
"Partial oracle, d-dim",100,4,5,0,100,1,0.1,0.5,320.064
"Partial oracle, d-dim",100,4,10,0,100,1,0.1,0.5,414.028
