Method,n_obs,d,mu_norm,equal_space_mu,n_proj,B,sim,alpha,p_0,time_sec
"Partial oracle, random projections",100,1,0,0,100,100,1,0.1,0.5,140.929
"Partial oracle, random projections",100,1,0,0,100,100,2,0.1,0.5,165.682
"Partial oracle, random projections",100,1,0,0,100,100,3,0.1,0.5,150.787
"Partial oracle, random projections",100,1,0,0,100,100,4,0.1,0.5,183.519
"Partial oracle, random projections",100,1,0,0,100,100,5,0.1,0.5,184.704
"Partial oracle, random projections",100,1,0,0,100,100,6,0.1,0.5,184.084
"Partial oracle, random projections",100,1,0,0,100,100,7,0.1,0.5,184.523
"Partial oracle, random projections",100,1,0,0,100,100,8,0.1,0.5,170.366
"Partial oracle, random projections",100,1,0,0,100,100,9,0.1,0.5,196.346
"Partial oracle, random projections",100,1,0,0,100,100,10,0.1,0.5,197.225
"Partial oracle, random projections",100,1,5,0,100,100,1,0.1,0.5,106.55
"Partial oracle, random projections",100,1,5,0,100,100,2,0.1,0.5,137.086
"Partial oracle, random projections",100,1,5,0,100,100,3,0.1,0.5,83.125
"Partial oracle, random projections",100,1,5,0,100,100,4,0.1,0.5,1.19100000000003
"Partial oracle, random projections",100,1,5,0,100,100,5,0.1,0.5,136.798
"Partial oracle, random projections",100,1,5,0,100,100,6,0.1,0.5,36.316
"Partial oracle, random projections",100,1,5,0,100,100,7,0.1,0.5,161.331
"Partial oracle, random projections",100,1,5,0,100,100,8,0.1,0.5,159.496
"Partial oracle, random projections",100,1,5,0,100,100,9,0.1,0.5,147.706
"Partial oracle, random projections",100,1,5,0,100,100,10,0.1,0.5,16.3480000000001
"Partial oracle, random projections",100,1,10,0,100,100,1,0.1,0.5,0.958
"Partial oracle, random projections",100,1,10,0,100,100,2,0.1,0.5,1.026
"Partial oracle, random projections",100,1,10,0,100,100,3,0.1,0.5,0.916
"Partial oracle, random projections",100,1,10,0,100,100,4,0.1,0.5,0.987
"Partial oracle, random projections",100,1,10,0,100,100,5,0.1,0.5,1.124
"Partial oracle, random projections",100,1,10,0,100,100,6,0.1,0.5,0.857999999999999
"Partial oracle, random projections",100,1,10,0,100,100,7,0.1,0.5,0.859999999999999
"Partial oracle, random projections",100,1,10,0,100,100,8,0.1,0.5,1.129
"Partial oracle, random projections",100,1,10,0,100,100,9,0.1,0.5,0.866
"Partial oracle, random projections",100,1,10,0,100,100,10,0.1,0.5,0.966000000000001
"Partial oracle, random projections",100,2,0,0,100,100,1,0.1,0.5,160.775
"Partial oracle, random projections",100,2,0,0,100,100,2,0.1,0.5,154.818
"Partial oracle, random projections",100,2,0,0,100,100,3,0.1,0.5,165.339
"Partial oracle, random projections",100,2,0,0,100,100,4,0.1,0.5,191.238
"Partial oracle, random projections",100,2,0,0,100,100,5,0.1,0.5,190.776
"Partial oracle, random projections",100,2,0,0,100,100,6,0.1,0.5,187.512
"Partial oracle, random projections",100,2,0,0,100,100,7,0.1,0.5,162.286
"Partial oracle, random projections",100,2,0,0,100,100,8,0.1,0.5,181.547
"Partial oracle, random projections",100,2,0,0,100,100,9,0.1,0.5,189.185
"Partial oracle, random projections",100,2,0,0,100,100,10,0.1,0.5,182.3
"Partial oracle, random projections",100,2,5,0,100,100,1,0.1,0.5,14.509
"Partial oracle, random projections",100,2,5,0,100,100,2,0.1,0.5,1.141
"Partial oracle, random projections",100,2,5,0,100,100,3,0.1,0.5,123.462
"Partial oracle, random projections",100,2,5,0,100,100,4,0.1,0.5,24.399
"Partial oracle, random projections",100,2,5,0,100,100,5,0.1,0.5,109.516
"Partial oracle, random projections",100,2,5,0,100,100,6,0.1,0.5,105.964
