d,mu_norm,n_obs,start_sim,n_sim,B,equal_space_mu,compute_ts
1,0,100,1,200,100,0,0
1,1,100,1,200,100,0,0
1,2,100,1,200,100,0,0
1,3,100,1,200,100,0,0
1,4,100,1,200,100,0,0
1,4.2,100,1,200,100,0,0
1,4.4,100,1,200,100,0,0
1,4.6,100,1,200,100,0,0
1,4.8,100,1,200,100,0,0
1,5,100,1,200,100,0,0
1,5.2,100,1,200,100,0,0
1,5.4,100,1,200,100,0,0
1,5.6,100,1,200,100,0,0
1,5.8,100,1,200,100,0,0
1,6,100,1,200,100,0,0
1,7,100,1,200,100,0,0
1,8,100,1,200,100,0,0
1,9,100,1,200,100,0,0
1,10,100,1,200,100,0,0
1,20,100,1,200,100,0,0
1,30,100,1,200,100,0,0
2,0,100,1,200,100,0,0
2,1,100,1,200,100,0,0
2,2,100,1,200,100,0,0
2,3,100,1,200,100,0,0
2,4,100,1,200,100,0,0
2,5,100,1,200,100,0,0
2,6,100,1,200,100,0,0
2,6.2,100,1,200,100,0,0
2,6.4,100,1,200,100,0,0
2,6.6,100,1,200,100,0,0
2,6.8,100,1,200,100,0,0
2,7,100,1,200,100,0,0
2,7.2,100,1,200,100,0,0
2,7.4,100,1,200,100,0,0
2,7.6,100,1,200,100,0,0
2,7.8,100,1,200,100,0,0
2,8,100,1,200,100,0,0
2,9,100,1,200,100,0,0
2,10,100,1,200,100,0,0
2,20,100,1,200,100,0,0
2,30,100,1,200,100,0,0
3,0,100,1,200,100,0,0
3,1,100,1,200,100,0,0
3,2,100,1,200,100,0,0
3,10,100,1,200,100,0,0
3,11,100,1,200,100,0,0
3,11.2,100,1,200,100,0,0
3,11.4,100,1,200,100,0,0
3,11.6,100,1,200,100,0,0
3,11.8,100,1,200,100,0,0
3,12,100,1,200,100,0,0
3,12.2,100,1,200,100,0,0
3,12.4,100,1,200,100,0,0
3,12.6,100,1,200,100,0,0
3,12.8,100,1,200,100,0,0
3,13,100,1,200,100,0,0
3,13.2,100,1,200,100,0,0
3,13.4,100,1,200,100,0,0
3,13.6,100,1,200,100,0,0
3,13.8,100,1,200,100,0,0
3,14,100,1,200,100,0,0
3,15,100,1,200,100,0,0
3,16,100,1,200,100,0,0
3,17,100,1,200,100,0,0
3,18,100,1,200,100,0,0
3,19,100,1,200,100,0,0
3,20,100,1,200,100,0,0
3,30,100,1,200,100,0,0
4,0,100,1,200,100,0,0
4,1,100,1,200,100,0,0
4,2,100,1,200,100,0,0
4,10,100,1,200,100,0,0
4,20,100,1,200,100,0,0
4,21,100,1,200,100,0,0
4,22,100,1,200,100,0,0
4,23,100,1,200,100,0,0
4,24,100,1,200,100,0,0
4,25,100,1,200,100,0,0
4,26,100,1,200,100,0,0
4,27,100,1,200,100,0,0
4,28,100,1,200,100,0,0
4,29,100,1,200,100,0,0
4,30,100,1,200,100,0,0
