d,mu_norm,n_obs,start_sim,n_sim,B,equal_space_mu,compute_ts
1,0,100,1,200,100,0,0
1,2,100,1,200,100,0,0
1,3,100,1,200,100,0,0
1,4,100,1,200,100,0,0
1,5,100,1,200,100,0,0
1,6,100,1,200,100,0,0
1,7,100,1,200,100,0,0
1,40,100,1,200,100,0,0
2,0,100,1,200,100,0,0
2,2,100,1,200,100,0,0
2,5,100,1,200,100,0,0
2,6,100,1,200,100,0,0
2,7,100,1,200,100,0,0
2,8,100,1,200,100,0,0
2,9,100,1,200,100,0,0
2,10,100,1,200,100,0,0
2,40,100,1,200,100,0,0
3,10,100,1,200,100,0,0
3,11,100,1,200,100,0,0
3,12,100,1,200,100,0,0
3,13,100,1,200,100,0,0
3,14,100,1,200,100,0,0
3,15,100,1,200,100,0,0
3,16,100,1,200,100,0,0
3,17,100,1,200,100,0,0
3,18,100,1,200,100,0,0
3,19,100,1,200,100,0,0
3,20,100,1,200,100,0,0
3,40,100,1,200,100,0,0
4,20,100,1,200,100,0,0
4,22,100,1,200,100,0,0
4,24,100,1,200,100,0,0
4,26,100,1,200,100,0,0
4,28,100,1,200,100,0,0
4,30,100,1,200,100,0,0
4,32,100,1,200,100,0,0
4,34,100,1,200,100,0,0
4,36,100,1,200,100,0,0
4,38,100,1,200,100,0,0
4,40,100,1,200,100,0,0
