d,mu_norm,n_obs,start_sim,n_sim,B,equal_space_mu
1,0,100,1,200,100,1
1,2,100,1,200,100,1
1,4,100,1,200,100,1
1,4.2,100,1,200,100,1
1,4.4,100,1,200,100,1
1,4.6,100,1,200,100,1
1,4.8,100,1,200,100,1
1,5,100,1,200,100,1
1,5.2,100,1,200,100,1
1,5.4,100,1,200,100,1
1,5.6,100,1,200,100,1
1,5.8,100,1,200,100,1
1,6,100,1,200,100,1
1,6.2,100,1,200,100,1
1,6.4,100,1,200,100,1
1,6.6,100,1,200,100,1
1,6.8,100,1,200,100,1
1,7,100,1,200,100,1
1,8,100,1,200,100,1
1,10,100,1,200,100,1
1,12,100,1,200,100,1
1,40,100,1,200,100,1
2,0,100,1,200,100,1
2,2,100,1,200,100,1
2,4,100,1,200,100,1
2,5.4,100,1,200,100,1
2,5.6,100,1,200,100,1
2,5.8,100,1,200,100,1
2,6,100,1,200,100,1
2,6.2,100,1,200,100,1
2,6.4,100,1,200,100,1
2,6.6,100,1,200,100,1
2,6.8,100,1,200,100,1
2,7,100,1,200,100,1
2,7.2,100,1,200,100,1
2,7.4,100,1,200,100,1
2,7.6,100,1,200,100,1
2,7.8,100,1,200,100,1
2,8,100,1,200,100,1
2,10,100,1,200,100,1
2,12,100,1,200,100,1
2,40,100,1,200,100,1
3,0,100,1,200,100,1
3,2,100,1,200,100,1
3,4,100,1,200,100,1
3,6,100,1,200,100,1
3,6.2,100,1,200,100,1
3,6.4,100,1,200,100,1
3,6.6,100,1,200,100,1
3,6.8,100,1,200,100,1
3,7,100,1,200,100,1
3,7.2,100,1,200,100,1
3,7.4,100,1,200,100,1
3,7.6,100,1,200,100,1
3,7.8,100,1,200,100,1
3,8,100,1,200,100,1
3,8.2,100,1,200,100,1
3,8.4,100,1,200,100,1
3,8.6,100,1,200,100,1
3,8.8,100,1,200,100,1
3,9,100,1,200,100,1
3,9.2,100,1,200,100,1
3,9.4,100,1,200,100,1
3,9.6,100,1,200,100,1
3,9.8,100,1,200,100,1
3,10,100,1,200,100,1
3,12,100,1,200,100,1
3,40,100,1,200,100,1
4,0,100,1,200,100,1
4,2,100,1,200,100,1
4,4,100,1,200,100,1
4,6,100,1,200,100,1
4,8,100,1,200,100,1
4,8.2,100,1,200,100,1
4,8.4,100,1,200,100,1
4,8.6,100,1,200,100,1
4,8.8,100,1,200,100,1
4,9,100,1,200,100,1
4,9.2,100,1,200,100,1
4,9.4,100,1,200,100,1
4,9.6,100,1,200,100,1
4,9.8,100,1,200,100,1
4,10,100,1,200,100,1
4,10.2,100,1,200,100,1
4,10.4,100,1,200,100,1
4,10.6,100,1,200,100,1
4,10.8,100,1,200,100,1
4,11,100,1,200,100,1
4,40,100,1,200,100,1
