d,sigma,n_obs,start_sim,n_sim,B,compute_ts
2,1.73205080756888,100,1,200,100,0
2,1.73205080756888,200,1,200,100,0
2,1.73205080756888,300,1,200,100,0
2,1.73205080756888,400,1,200,100,0
2,1.73205080756888,500,1,200,100,0
2,1.73205080756888,600,1,200,100,0
2,1.73205080756888,700,1,200,100,0
2,1.73205080756888,800,1,200,100,0
2,1.73205080756888,900,1,200,100,0
2,1.73205080756888,1000,1,200,100,0
2,1.73205080756888,1100,1,200,100,0
2,1.73205080756888,1200,1,200,100,0
2,1.73205080756888,1300,1,200,100,0
2,1.73205080756888,1400,1,200,100,0
2,1.73205080756888,1500,1,200,100,0
2,1.73205080756888,1600,1,200,100,0
2,1.73205080756888,1700,1,200,100,0
2,1.73205080756888,1800,1,200,100,0
2,1.73205080756888,1900,1,200,100,0
2,1.73205080756888,2000,1,200,100,0
